Stock_Name,Date,Time,Open,High,Low,Close,Price,Volume,Percent_Change
NESTLEIND,12-Nov-21,09:00:04,18950,18950,18670.05,18952.9,18854,41954,-0.52
NESTLEIND,12-Nov-21,09:02:04,18950,18950,18670.05,18952.9,18854,41954,-0.52
NESTLEIND,12-Nov-21,09:04:04,18950,18950,18670.05,18952.9,18854,41954,-0.52
NESTLEIND,12-Nov-21,09:06:04,18950,18950,18670.05,18952.9,18854,41954,-0.52
NESTLEIND,12-Nov-21,09:08:04,18950,18950,18950,18952.9,18854,41957,-0.52
NESTLEIND,12-Nov-21,09:10:04,18950,18950,18950,18952.9,18854,41957,-0.52
NESTLEIND,12-Nov-21,09:12:04,18950,18950,18950,18952.9,18854,41957,-0.52
NESTLEIND,12-Nov-21,09:14:04,18950,18950,18950,18952.9,18854,41957,-0.52
NESTLEIND,12-Nov-21,09:16:04,18950,18950,18867.35,18854,18867.35,430,0.07
NESTLEIND,12-Nov-21,09:18:04,18950,18950,18863.05,18854,18918.1,854,0.34
NESTLEIND,12-Nov-21,09:20:04,18950,18976.4,18863.05,18854,18960,1339,0.56
NESTLEIND,12-Nov-21,09:22:04,18950,18994.3,18863.05,18854,18979.6,1584,0.66
NESTLEIND,12-Nov-21,09:24:05,18950,19083.85,18860.85,18854,19065.75,2484,1.11
NESTLEIND,12-Nov-21,09:26:04,18950,19083.85,18860.85,18854,19059.5,2926,1.08
NESTLEIND,12-Nov-21,09:28:04,18950,19083.85,18860.85,18854,19029.6,3323,0.92
NESTLEIND,12-Nov-21,09:30:04,18950,19083.85,18860.85,18854,19018.35,3490,0.86
NESTLEIND,12-Nov-21,09:32:04,18950,19083.85,18860.85,18854,19037.75,4564,0.97
NESTLEIND,12-Nov-21,09:34:04,18950,19083.85,18860.85,18854,19036.95,4732,0.96
NESTLEIND,12-Nov-21,09:36:04,18950,19120,18860.85,18854,19099.95,5771,1.29
NESTLEIND,12-Nov-21,09:38:04,18950,19120,18860.85,18854,19089.9,5976,1.24
NESTLEIND,12-Nov-21,09:40:04,18950,19120,18860.85,18854,19085,6321,1.21
NESTLEIND,12-Nov-21,09:42:04,18950,19120,18860.85,18854,19091.55,6747,1.24
NESTLEIND,12-Nov-21,09:44:04,18950,19120,18860.85,18854,19107.3,7137,1.33
NESTLEIND,12-Nov-21,09:46:04,18950,19120,18860.85,18854,19106.05,7528,1.32
NESTLEIND,12-Nov-21,09:48:04,18950,19120,18860.85,18854,19104.55,7850,1.31
NESTLEIND,12-Nov-21,09:50:04,18950,19149.55,18860.85,18854,19140.35,8449,1.5
NESTLEIND,12-Nov-21,09:52:04,18950,19150,18860.85,18854,19115.4,9721,1.37
NESTLEIND,12-Nov-21,09:54:03,18950,19150,18860.85,18854,19119.85,10300,1.39
NESTLEIND,12-Nov-21,09:58:04,18950,19150,18860.85,18854,19129.95,12102,1.44
NESTLEIND,12-Nov-21,10:00:04,18950,19150,18860.85,18854,19105.45,12392,1.32
NESTLEIND,12-Nov-21,10:02:04,18950,19150,18860.85,18854,19094.3,12644,1.26
NESTLEIND,12-Nov-21,10:04:04,18950,19150,18860.85,18854,19085.25,12942,1.21
NESTLEIND,12-Nov-21,10:06:04,18950,19150,18860.85,18854,19089.1,13137,1.23
NESTLEIND,12-Nov-21,10:08:04,18950,19150,18860.85,18854,19089.5,13279,1.23
NESTLEIND,12-Nov-21,10:10:04,18950,19150,18860.85,18854,19056.8,13779,1.06
NESTLEIND,12-Nov-21,10:12:04,18950,19150,18860.85,18854,19057,13942,1.07
NESTLEIND,12-Nov-21,10:14:03,18950,19150,18860.85,18854,19038.5,14154,0.97
NESTLEIND,12-Nov-21,10:16:03,18950,19150,18860.85,18854,19013.15,14657,0.84
NESTLEIND,12-Nov-21,10:18:04,18950,19150,18860.85,18854,19016.5,14825,0.85
NESTLEIND,12-Nov-21,10:20:04,18950,19150,18860.85,18854,19012,14923,0.83
NESTLEIND,12-Nov-21,10:48:58,18950,19150,18860.85,18854,18976.85,19005,0.65
NESTLEIND,12-Nov-21,10:58:07,18950,19150,18860.85,18854,18943.45,19731,0.47
NESTLEIND,12-Nov-21,11:00:07,18950,19150,18860.85,18854,18945,19787,0.48
NESTLEIND,12-Nov-21,11:02:07,18950,19150,18860.85,18854,18936.3,20086,0.43
NESTLEIND,12-Nov-21,11:06:06,18950,19150,18860.85,18854,18920,20310,0.35
NESTLEIND,12-Nov-21,11:08:07,18950,19150,18860.85,18854,18923.4,20349,0.37
NESTLEIND,12-Nov-21,11:10:07,18950,19150,18860.85,18854,18902,20553,0.25
NESTLEIND,12-Nov-21,11:12:07,18950,19150,18860.85,18854,18916.65,20657,0.33
NESTLEIND,12-Nov-21,11:14:07,18950,19150,18860.85,18854,18914.05,20727,0.32
NESTLEIND,12-Nov-21,11:16:06,18950,19150,18860.85,18854,18885.15,21287,0.16
NESTLEIND,12-Nov-21,11:18:06,18950,19150,18860.85,18854,18899,21436,0.24
NESTLEIND,12-Nov-21,11:20:06,18950,19150,18860.85,18854,18890.2,21754,0.19
NESTLEIND,12-Nov-21,11:22:07,18950,19150,18860.85,18854,18889.95,22719,0.19
NESTLEIND,12-Nov-21,11:24:07,18950,19150,18860.85,18854,18900,22822,0.24
NESTLEIND,12-Nov-21,11:26:07,18950,19150,18860.85,18854,18905.65,23131,0.27
NESTLEIND,12-Nov-21,11:28:08,18950,19150,18860.85,18854,18911.05,23194,0.3
NESTLEIND,12-Nov-21,11:30:10,18950,19150,18860.85,18854,18935,23376,0.43
NESTLEIND,12-Nov-21,11:32:08,18950,19150,18860.85,18854,18913.75,23893,0.32
NESTLEIND,12-Nov-21,11:34:06,18950,19150,18860.85,18854,18907.3,23976,0.28
NESTLEIND,12-Nov-21,11:36:07,18950,19150,18860.85,18854,18906.5,24170,0.28
NESTLEIND,12-Nov-21,11:38:07,18950,19150,18860.85,18854,18909.8,24265,0.3
NESTLEIND,12-Nov-21,11:40:07,18950,19150,18860.85,18854,18920,24336,0.35
NESTLEIND,12-Nov-21,11:42:07,18950,19150,18860.85,18854,18922.5,24383,0.36
NESTLEIND,12-Nov-21,11:44:07,18950,19150,18860.85,18854,18930.15,24457,0.4
NESTLEIND,12-Nov-21,12:28:05,18950,19150,18860.85,18854,18958.65,33242,0.55
NESTLEIND,12-Nov-21,12:34:07,18950,19150,18860.85,18854,18958.1,33435,0.55
NESTLEIND,12-Nov-21,12:36:07,18950,19150,18860.85,18854,18960.7,33553,0.56
NESTLEIND,12-Nov-21,12:38:07,18950,19150,18860.85,18854,18955.55,33628,0.54
NESTLEIND,12-Nov-21,12:42:07,18950,19150,18860.85,18854,18964.95,33732,0.59
NESTLEIND,12-Nov-21,12:44:07,18950,19150,18860.85,18854,18960,33776,0.56
NESTLEIND,12-Nov-21,12:46:07,18950,19150,18860.85,18854,18965,33845,0.59
NESTLEIND,12-Nov-21,12:48:07,18950,19150,18860.85,18854,18977.9,34133,0.65
NESTLEIND,12-Nov-21,12:50:07,18950,19150,18860.85,18854,18981.2,34181,0.67
NESTLEIND,12-Nov-21,12:52:07,18950,19150,18860.85,18854,18976.7,34231,0.65
NESTLEIND,12-Nov-21,12:54:07,18950,19150,18860.85,18854,18971.7,34342,0.62
NESTLEIND,12-Nov-21,12:56:07,18950,19150,18860.85,18854,18969.95,34399,0.61
NESTLEIND,12-Nov-21,12:58:07,18950,19150,18860.85,18854,18967,34471,0.6
NESTLEIND,12-Nov-21,13:00:06,18950,19150,18860.85,18854,18960.05,34523,0.56
NESTLEIND,12-Nov-21,13:02:07,18950,19150,18860.85,18854,18960,34618,0.56
NESTLEIND,12-Nov-21,13:04:07,18950,19150,18860.85,18854,18968.8,34701,0.61
NESTLEIND,12-Nov-21,13:06:07,18950,19150,18860.85,18854,18973.15,34772,0.63
NESTLEIND,12-Nov-21,13:08:06,18950,19150,18860.85,18854,18975,34848,0.64
NESTLEIND,12-Nov-21,13:10:07,18950,19150,18860.85,18854,18979.95,34977,0.66
NESTLEIND,12-Nov-21,13:12:07,18950,19150,18860.85,18854,18985.05,36866,0.69
NESTLEIND,12-Nov-21,13:14:07,18950,19150,18860.85,18854,18999,37024,0.76
NESTLEIND,12-Nov-21,13:16:07,18950,19150,18860.85,18854,19000,38352,0.77
NESTLEIND,12-Nov-21,13:18:07,18950,19150,18860.85,18854,18991.85,38457,0.73
NESTLEIND,12-Nov-21,13:20:07,18950,19150,18860.85,18854,18994.65,38654,0.74
NESTLEIND,12-Nov-21,13:22:08,18950,19150,18860.85,18854,18983.55,38731,0.68
NESTLEIND,12-Nov-21,13:24:07,18950,19150,18860.85,18854,18994,38835,0.74
NESTLEIND,12-Nov-21,13:26:07,18950,19150,18860.85,18854,18993.95,38925,0.74
NESTLEIND,12-Nov-21,13:28:07,18950,19150,18860.85,18854,18993.95,39005,0.74
NESTLEIND,12-Nov-21,13:30:07,18950,19150,18860.85,18854,18999.85,39132,0.77
NESTLEIND,12-Nov-21,13:32:07,18950,19150,18860.85,18854,19011.8,39650,0.83
NESTLEIND,12-Nov-21,13:34:07,18950,19150,18860.85,18854,19010,39826,0.82
NESTLEIND,12-Nov-21,13:36:06,18950,19150,18860.85,18854,19010.05,39963,0.82
NESTLEIND,12-Nov-21,13:38:08,18950,19150,18860.85,18854,19010,40056,0.82
NESTLEIND,12-Nov-21,13:40:10,18950,19150,18860.85,18854,19014.85,40330,0.85
NESTLEIND,12-Nov-21,13:42:09,18950,19150,18860.85,18854,19030.65,40578,0.93
NESTLEIND,12-Nov-21,13:44:09,18950,19150,18860.85,18854,19023.7,40768,0.89
NESTLEIND,12-Nov-21,13:46:30,18950,19150,18860.85,18854,19030.05,41024,0.93
NESTLEIND,12-Nov-21,13:48:08,18950,19150,18860.85,18854,19047.9,41338,1.02
NESTLEIND,12-Nov-21,13:50:07,18950,19150,18860.85,18854,19034.45,41504,0.95
NESTLEIND,12-Nov-21,13:52:09,18950,19150,18860.85,18854,19026.35,41880,0.91
